# score	scene  (static core vs real-Makie CanvasMakie render)
0.9116	core: barplot
0.9095	core: barplot negative
0.5609	core: 2x2 grid
0.233	core: titles and labels
0.1736	legend: axislegend rt
0.1547	axis: minorgrid + bold title + subtitle
0.1466	core: image primaries
0.1179	core: single line
0.1179	core: two lines cycle
0.1179	core: thick red line
0.1179	core: dashed line
0.1179	core: scatter default
0.1179	core: scatter sized rect
0.1179	core: lines + scatter
0.0902	core: heatmap viridis
0.0902	colorbar: heatmap-linked vertical
0.0	axis: hidden decorations + spines
# CORE_PARITY passed=14/17 @ tier 0.30 (T-005-tightened; text scenes ~0.15)
